Lieu de prêt,Emplacement,"Nb prêt
01/02/19","Nb prêt
02/02/19","Nb prêt
04/02/19","Nb prêt
05/02/19","Nb prêt
06/02/19","Nb prêt
07/02/19","Nb prêt
08/02/19","Nb prêt
09/02/19","Nb prêt
11/02/19","Nb prêt
12/02/19","Nb prêt
13/02/19","Nb prêt
14/02/19","Nb prêt
15/02/19","Nb prêt
16/02/19","Nb prêt
18/02/19","Nb prêt
19/02/19","Nb prêt
20/02/19","Nb prêt
21/02/19","Nb prêt
22/02/19","Nb prêt
23/02/19","Nb prêt
25/02/19","Nb prêt
26/02/19","Nb prêt
27/02/19","Nb prêt
28/02/19"
                         ,LIVRES SUR LES JEUX,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,GRANDS JEUX        ,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
                         ,JEUX A REGLES      ,17,3,0,16,31,12,18,15,0,11,20,0,14,25,0,23,36,0,23,15,0,10,19,0
                         ,JEUX SYMBOLIQUES   ,6,2,0,5,27,0,10,2,0,9,9,0,12,9,0,28,19,0,13,5,0,5,21,0
                         ,JEUX VIDEO         ,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,LOISIRS CREATIFS   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
                         ,MUSIQUE ADULTES    ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,0,0,0
                         ,MUSIQUE JEUNESSE   ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
                         ,PRESSE             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
                         ,FONDS PRO          ,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,PSYCHOLOGIE        ,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
                         ,ROMANS ADULTES     ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0
                         ,ROMANS JEUNESSE    ,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
                         ,SCIENCES           ,0,1,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0
                         ,SOCIETE            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
                         ,SPORTS ET LOISIRS  ,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Gao Xingjian - Sillon    ,TOTAL              ,172,443,15,213,406,150,142,362,5,404,343,142,306,0,0,456,258,301,274,0,0,196,371,141
                         ,ALBUMS             ,46,84,0,92,75,7,5,26,0,91,43,26,82,0,0,136,60,84,79,0,0,43,92,26
                         ,ARTS               ,1,0,2,0,0,2,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0
                         ,AUTOUR DU JEU      ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
                         ,BD ADULTES         ,1,45,1,3,10,3,2,54,0,31,29,3,6,0,0,21,9,10,5,0,0,10,31,8
                         ,BD JEUNESSE        ,9,144,0,15,119,41,41,102,0,54,83,21,50,0,0,80,48,38,45,0,0,24,71,19
                         ,CINEMA ADULTES     ,1,0,0,3,3,0,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,9
                         ,CINEMA JEUNESSE    ,0,0,0,1,0,1,3,0,0,5,4,0,0,0,0,1,0,0,0,0,0,1,1,2
                         ,GEOGRAPHIE         ,0,1,0,2,2,0,0,4,0,1,1,2,0,0,0,2,0,0,0,0,0,1,0,0
                         ,HISTOIRE           ,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
                         ,INFORMATIQUE       ,1,1,0,0,0,0,0,0,0,0,2,0,5,0,0,0,3,4,2,0,0,0,0,1
                         ,JEUX D'ASSEMBLAGE  ,0,3,1,0,3,1,1,0,0,4,1,0,1,0,0,3,2,1,2,0,0,0,0,0
                         ,JEUX D'EXERCICES   ,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
                         ,JEUX A REGLES      ,12,36,0,6,24,8,9,66,0,50,15,5,32,0,0,43,11,28,30,0,0,13,14,2
                         ,JEUX SYMBOLIQUES   ,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,2,0,0,0,0,0,2
                         ,JEUX VIDEO         ,5,15,0,8,13,6,7,17,0,11,12,12,17,0,0,16,9,7,4,0,0,4,7,3
                         ,LANGUES            ,2,4,0,0,9,6,0,16,1,5,20,1,3,0,0,13,18,4,13,0,0,2,2,2
                         ,LITTERATURE        ,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
                         ,LOISIRS CREATIFS   ,5,0,0,3,6,8,1,3,0,4,5,1,7,0,0,2,0,0,8,0,0,6,3,2
                         ,MUSIQUE ADULTES    ,0,0,0,0,0,0,2,1,0,7,7,0,0,0,0,1,0,0,2,0,0,1,0,0
                         ,MUSIQUE JEUNESSE   ,0,3,0,1,2,0,0,0,0,3,4,1,0,0,0,0,2,3,0,0,0,1,0,2
                         ,PHILOSOPHIE        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
                         ,PRESSE             ,19,2,6,8,43,7,9,0,1,26,20,17,19,0,0,14,1,6,7,0,0,4,24,3
                         ,FONDS PRO          ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
                         ,PSYCHOLOGIE        ,2,6,2,6,0,2,0,9,0,4,2,0,5,0,0,7,4,7,1,0,0,1,5,2
                         ,ROMANS ADULTES     ,17,20,0,30,19,32,29,30,0,64,30,17,33,0,0,49,39,26,41,0,0,53,50,21
                         ,ROMANS JEUNESSE    ,26,40,2,25,51,13,8,12,0,21,30,18,17,0,0,34,22,45,25,0,0,23,34,4
                         ,SCIENCES           ,4,8,1,3,13,5,10,1,1,3,3,11,5,0,0,7,4,4,0,0,0,2,17,2
                         ,SOCIETE            ,14,4,0,1,0,4,0,7,0,6,5,1,8,0,0,14,6,9,2,0,0,3,5,2
                         ,SPORTS ET LOISIRS  ,1,0,0,0,0,0,1,4,0,1,5,0,0,0,0,0,0,1,0,0,0,0,1,0
                         ,VIE PRATIQUE       ,5,25,0,3,14,4,6,7,2,11,20,6,13,0,0,7,17,19,7,0,0,2,13,28
                         ,THEATRE            ,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
                         ,xx                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
