Lieu de prêt,Emplacement,"Nb prêt
01/03/19","Nb prêt
02/03/19","Nb prêt
04/03/19","Nb prêt
05/03/19","Nb prêt
06/03/19","Nb prêt
07/03/19","Nb prêt
08/03/19","Nb prêt
09/03/19","Nb prêt
11/03/19","Nb prêt
12/03/19","Nb prêt
13/03/19","Nb prêt
14/03/19","Nb prêt
15/03/19","Nb prêt
16/03/19","Nb prêt
18/03/19","Nb prêt
19/03/19","Nb prêt
20/03/19","Nb prêt
21/03/19","Nb prêt
22/03/19","Nb prêt
23/03/19","Nb prêt
25/03/19","Nb prêt
26/03/19","Nb prêt
27/03/19","Nb prêt
28/03/19","Nb prêt
29/03/19","Nb prêt
30/03/19"
                         ,PSYCHOLOGIE        ,1,0,5,3,2,0,2,0,5,0,5,0,0,0,10,2,7,0,0,0,8,0,4,0,0,0
                         ,RELIGIONS          ,6,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,6,3,0,1,0
                         ,ROMANS ADULTES     ,38,0,35,29,48,0,46,0,25,14,46,0,46,0,46,24,25,0,9,0,31,25,56,0,38,0
                         ,ROMANS JEUNESSE    ,43,0,40,28,104,0,38,0,31,26,103,0,25,0,18,24,78,2,28,0,41,25,135,0,26,0
                         ,SCIENCES           ,4,0,3,12,33,0,2,0,2,5,19,0,11,0,3,10,18,0,1,0,4,9,28,0,2,0
                         ,SOCIETE            ,6,0,4,2,3,0,2,0,9,2,11,0,1,0,0,2,4,2,0,0,4,4,5,0,2,0
                         ,SPORTS ET LOISIRS  ,3,0,5,1,2,0,3,0,2,1,6,0,1,0,1,0,9,0,2,0,1,2,4,0,6,0
                         ,VIE PRATIQUE       ,5,0,12,11,11,0,5,0,11,3,34,0,5,0,4,2,14,0,1,0,5,16,14,0,1,0
                         ,THEATRE            ,0,0,1,0,3,0,0,0,0,0,2,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0
Ludothèque            ,TOTAL              ,46,0,0,51,98,0,77,66,0,32,110,0,78,42,0,28,88,1,57,40,0,39,122,0,37,48
                         ,ALBUMS             ,1,0,0,3,2,0,0,5,0,0,0,0,13,0,0,0,0,0,0,0,0,0,1,0,0,7
                         ,AUTOUR DU JEU      ,1,0,0,2,7,0,0,10,0,4,4,0,5,5,0,3,13,0,8,0,0,1,8,0,0,1
                         ,BD ADULTES         ,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
                         ,BD JEUNESSE        ,1,0,0,0,1,0,1,4,0,1,1,0,0,1,0,1,2,1,0,0,0,1,9,0,0,0
                         ,CINEMA ADULTES     ,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4
                         ,CINEMA JEUNESSE    ,0,0,0,0,1,0,0,2,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1
                         ,GEOGRAPHIE         ,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,INFORMATIQUE       ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX D'ASSEMBLAGE  ,9,0,0,10,11,0,6,10,0,1,11,0,7,3,0,2,9,0,6,8,0,9,15,0,5,2
                         ,JEUX D'EXERCICES   ,3,0,0,8,18,0,17,3,0,11,21,0,13,7,0,1,19,0,4,4,0,15,17,0,7,1
                         ,GRANDS JEUX        ,0,0,0,0,0,0,7,0,0,0,1,0,5,0,0,0,0,0,12,0,0,3,0,0,11,0
                         ,JEUX A REGLES      ,16,0,0,8,25,0,22,12,0,8,39,0,9,13,0,12,19,0,10,14,0,3,32,0,4,13
                         ,JEUX SYMBOLIQUES   ,10,0,0,17,22,0,13,14,0,7,22,0,8,11,0,8,24,0,10,13,0,2,32,0,8,16
                         ,JEUX VIDEO         ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,LANGUES            ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
                         ,LOISIRS CREATIFS   ,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
                         ,MUSIQUE ADULTES    ,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,MUSIQUE JEUNESSE   ,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0
                         ,PHILOSOPHIE        ,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,PRESSE             ,0,0,0,0,0,0,0,4,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
                         ,ROMANS ADULTES     ,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
                         ,ROMANS JEUNESSE    ,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
                         ,SCIENCES           ,2,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,SOCIETE            ,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0
                         ,SPORTS ET LOISIRS  ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,6,1,0,0,2,0,0,1
                         ,VIE PRATIQUE       ,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Gao Xingjian - Sillon    ,TOTAL              ,271,0,7,320,442,169,129,628,0,232,462,161,176,413,0,321,268,153,140,219,13,281,478,169,201,351
                         ,ALBUMS             ,83,0,2,89,77,55,25,104,0,30,108,39,18,57,0,61,77,30,8,18,6,6,85,41,21,65
                         ,ARTS               ,1,0,4,1,1,0,0,0,0,1,1,0,7,0,0,0,0,2,0,0,0,1,2,0,0,1
                         ,AUTOUR DU JEU      ,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
                         ,BD ADULTES         ,8,0,0,34,23,6,5,29,0,10,10,6,14,17,0,17,3,9,4,38,0,21,24,5,39,27
                         ,BD JEUNESSE        ,38,0,0,30,137,9,20,179,0,28,91,34,23,107,0,84,58,23,36,44,0,67,99,28,42,86
                         ,CINEMA ADULTES     ,1,0,0,0,1,7,1,2,0,9,1,0,3,1,0,0,0,2,7,0,0,1,8,2,1,0
                         ,CINEMA JEUNESSE    ,2,0,0,0,0,0,1,4,0,6,3,0,0,0,0,0,0,2,2,1,1,1,2,0,1,2
                         ,DANSE              ,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
                         ,GEOGRAPHIE         ,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,3,2,0,1
                         ,HISTOIRE           ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
                         ,INFORMATIQUE       ,2,0,0,0,0,1,0,2,0,1,2,1,0,5,0,1,0,0,0,2,0,2,1,0,0,1
                         ,JEUX D'ASSEMBLAGE  ,0,0,0,2,2,3,2,4,0,0,1,1,0,0,0,2,1,0,0,0,0,0,2,1,0,0
                         ,JEUX D'EXERCICES   ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX A REGLES      ,17,0,0,11,50,6,12,76,0,19,25,8,14,28,0,25,13,9,17,20,0,25,50,8,11,19
                         ,JEUX SYMBOLIQUES   ,0,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
                         ,JEUX VIDEO         ,8,0,0,1,12,2,10,30,0,2,21,6,7,19,0,5,10,2,2,16,0,4,10,2,7,15
                         ,LANGUES            ,14,0,0,2,7,0,1,6,0,5,1,0,1,3,0,15,6,5,3,0,0,5,24,15,3,5
                         ,LITTERATURE        ,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,LOISIRS CREATIFS   ,0,0,0,11,9,1,2,5,0,4,13,0,3,5,0,2,3,7,2,2,0,24,13,2,0,13
                         ,MUSIQUE ADULTES    ,3,0,0,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,13,1,0,0,0
                         ,MUSIQUE JEUNESSE   ,2,0,0,4,2,4,0,1,0,1,2,0,0,5,0,2,2,4,0,0,0,0,0,2,0,2
                         ,PRESSE             ,12,0,0,27,6,8,12,41,0,2,33,2,8,13,0,9,19,5,11,5,0,7,7,8,12,19
                         ,PSYCHOLOGIE        ,2,0,0,5,1,3,1,11,0,2,18,4,7,6,0,2,4,0,1,2,0,3,9,4,2,4
                         ,ROMANS ADULTES     ,25,0,0,58,22,37,18,24,0,51,25,27,39,34,0,42,37,30,14,35,0,44,38,18,39,29
                         ,ROMANS JEUNESSE    ,22,0,0,13,54,10,14,52,0,32,44,24,22,58,0,32,16,14,19,29,1,17,73,16,14,28
                         ,SCIENCES           ,10,0,0,1,13,4,1,12,0,0,16,0,3,5,0,5,8,2,2,3,0,10,5,4,3,5
                         ,SOCIETE            ,15,0,0,9,2,10,2,12,0,10,20,4,0,31,0,0,6,1,2,0,0,8,10,7,3,11
                         ,SPORTS ET LOISIRS  ,0,0,0,0,7,1,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,4,0,0,2
                         ,VIE PRATIQUE       ,6,0,1,16,13,1,2,31,0,8,26,3,2,17,0,13,2,5,6,3,5,22,7,4,3,16
                         ,THEATRE            ,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
