Lieu de prêt,Emplacement,"Nb prêt
03/07/17","Nb prêt
04/07/17","Nb prêt
05/07/17","Nb prêt
06/07/17","Nb prêt
07/07/17","Nb prêt
10/07/17","Nb prêt
11/07/17","Nb prêt
12/07/17","Nb prêt
13/07/17","Nb prêt
17/07/17","Nb prêt
18/07/17","Nb prêt
19/07/17","Nb prêt
20/07/17","Nb prêt
21/07/17","Nb prêt
24/07/17","Nb prêt
25/07/17","Nb prêt
26/07/17","Nb prêt
27/07/17","Nb prêt
28/07/17","Nb prêt
31/07/17"
                         ,VIE PRATIQUE       ,1,26,20,17,7,0,39,36,33,1,33,51,21,18,0,23,39,27,11,3
                         ,THEATRE            ,0,5,14,25,9,5,23,42,6,19,15,15,24,40,0,33,10,23,3,0
                         ,VERSION ORIGINALE  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
                         ,xx                 ,0,1,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0
Bellevue                 ,TOTAL              ,134,126,174,0,106,307,86,219,0,254,78,129,55,57,189,74,211,0,199,166
                         ,ALBUMS             ,21,32,30,0,16,66,8,26,0,49,18,9,44,2,35,12,53,0,17,11
                         ,ARTS               ,1,1,1,0,0,2,0,0,0,2,0,3,0,0,0,1,1,0,1,0
                         ,GRAPHISME          ,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0
                         ,BD ADULTES         ,12,11,2,0,10,18,0,4,0,4,13,10,0,6,21,0,8,0,10,15
                         ,BD JEUNESSE        ,19,9,31,0,23,51,6,12,0,40,3,14,3,7,50,14,9,0,14,40
                         ,CINEMA ADULTES     ,4,6,22,0,3,24,2,16,0,12,3,3,0,7,19,4,12,0,19,14
                         ,CINEMA JEUNESSE    ,8,0,5,0,3,25,10,9,0,3,3,0,0,0,5,5,5,0,25,22
                         ,CINEMA             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
                         ,DANSE              ,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,1,0
                         ,GEOGRAPHIE         ,6,0,1,0,0,2,0,4,0,6,3,3,1,0,3,4,3,0,4,3
                         ,HISTOIRE           ,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1
                         ,INFORMATIQUE       ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
