Lieu de prêt,Emplacement,"Nb prêt
01/05/19","Nb prêt
02/05/19","Nb prêt
03/05/19","Nb prêt
04/05/19","Nb prêt
05/05/19","Nb prêt
06/05/19","Nb prêt
07/05/19","Nb prêt
08/05/19","Nb prêt
09/05/19","Nb prêt
10/05/19","Nb prêt
11/05/19","Nb prêt
12/05/19","Nb prêt
13/05/19","Nb prêt
14/05/19","Nb prêt
15/05/19","Nb prêt
16/05/19","Nb prêt
17/05/19","Nb prêt
18/05/19","Nb prêt
19/05/19","Nb prêt
20/05/19","Nb prêt
21/05/19","Nb prêt
22/05/19","Nb prêt
23/05/19","Nb prêt
24/05/19","Nb prêt
25/05/19","Nb prêt
27/05/19","Nb prêt
28/05/19","Nb prêt
29/05/19","Nb prêt
30/05/19","Nb prêt
31/05/19"
                         ,DANSE              ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,GEOGRAPHIE         ,0,0,4,0,0,3,10,0,0,4,0,0,5,2,4,0,4,0,0,2,2,10,0,10,0,5,5,0,0,5
                         ,HISTOIRE           ,0,0,1,0,0,3,4,0,0,7,0,0,1,3,0,0,4,0,0,3,0,4,0,5,0,3,0,0,0,0
                         ,INFORMATIQUE       ,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
                         ,JEUX D'ASSEMBLAGE  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
                         ,JEUX D'EXERCICES   ,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
                         ,JEUX A REGLES      ,0,1,0,0,0,3,2,0,0,1,0,0,1,4,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
                         ,JEUX SYMBOLIQUES   ,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
                         ,JEUX VIDEO         ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
                         ,LANGUES            ,0,0,1,0,0,5,3,0,0,1,0,0,7,2,5,0,1,0,0,2,2,4,0,0,0,1,1,3,0,0
                         ,LITTERATURE        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,LOISIRS CREATIFS   ,0,0,2,0,0,5,1,0,0,1,0,0,0,1,8,0,0,0,0,2,4,3,0,1,0,2,1,1,0,0
                         ,MUSIQUE ADULTES    ,0,0,3,0,0,0,4,0,0,1,0,0,0,18,1,0,2,0,0,20,9,10,0,1,0,10,1,6,0,1
                         ,MUSIQUE JEUNESSE   ,0,0,6,0,0,1,3,0,0,3,0,0,2,5,10,0,4,0,0,0,4,3,0,2,0,4,6,4,0,2
                         ,PHILOSOPHIE        ,0,0,0,0,0,2,3,0,0,0,0,0,1,0,2,0,2,0,0,1,2,1,0,0,0,4,0,3,0,0
                         ,PRESSE             ,0,0,13,0,0,8,3,0,0,15,0,0,12,3,64,0,28,0,0,17,13,29,0,7,0,33,3,18,0,6
                         ,PSYCHOLOGIE        ,0,0,6,0,0,9,10,0,0,3,0,0,1,0,0,0,3,0,0,1,1,0,0,1,0,1,0,2,0,1
                         ,RELIGIONS          ,0,0,0,0,0,0,2,0,0,0,0,0,3,1,2,0,1,0,0,2,4,1,0,1,0,0,0,9,0,2
                         ,ROMANS ADULTES     ,0,0,46,0,0,31,28,0,1,40,0,0,24,21,37,0,45,0,0,50,25,15,0,44,0,29,26,40,0,11
                         ,ROMANS JEUNESSE    ,0,3,34,0,0,27,34,0,0,63,0,0,35,5,67,2,16,0,0,37,36,73,0,37,0,34,46,56,0,8
                         ,SCIENCES           ,0,1,3,0,0,4,5,0,0,12,0,0,5,16,13,0,8,0,0,1,12,16,0,4,0,3,9,13,0,2
                         ,SOCIETE            ,0,0,0,0,0,6,4,0,2,0,0,0,1,0,10,0,2,0,0,1,0,3,0,1,0,4,1,2,0,4
                         ,SPORTS ET LOISIRS  ,0,0,8,0,0,1,1,0,0,1,0,0,1,1,3,0,2,0,0,1,0,6,0,0,0,0,0,6,0,0
                         ,VIE PRATIQUE       ,0,0,4,0,0,7,18,0,0,6,0,0,14,10,13,0,6,0,0,23,6,13,0,7,0,21,7,20,0,1
                         ,THEATRE            ,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
 Ludothéque           ,TOTAL              ,0,3,69,26,0,0,65,0,15,92,48,0,0,39,51,21,52,45,0,0,46,58,1,48,20,0,33,113,0,51
                         ,ALBUMS             ,0,1,0,0,0,0,0,0,5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,ARTS               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,AUTOUR DU JEU      ,0,0,4,3,0,0,3,0,1,4,2,0,0,2,0,0,2,7,0,0,2,3,0,1,1,0,1,1,0,0
                         ,BD ADULTES         ,0,0,2,1,0,0,0,0,0,0,1,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
                         ,BD JEUNESSE        ,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0
                         ,CINEMA ADULTES     ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,CINEMA JEUNESSE    ,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX D'ASSEMBLAGE  ,0,0,3,4,0,0,11,0,0,11,9,0,0,2,8,2,4,8,0,0,3,7,0,4,1,0,3,19,0,11
                         ,JEUX D'EXERCICES   ,0,0,6,1,0,0,9,0,1,9,4,0,0,12,9,0,6,3,0,0,9,5,0,2,9,0,5,21,0,4
                         ,LIVRES SUR LES JEUX,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,GRANDS JEUX        ,0,0,25,0,0,0,9,0,0,18,0,0,0,6,0,0,7,0,0,0,18,0,0,23,0,0,13,4,0,15
                         ,JEUX A REGLES      ,0,0,13,13,0,0,13,0,0,13,13,0,0,6,16,10,9,15,0,0,9,20,0,10,5,0,1,49,0,13
                         ,JEUX SYMBOLIQUES   ,0,0,16,3,0,0,15,0,0,4,19,0,0,7,15,0,19,6,0,0,5,19,0,5,4,0,5,19,0,7
                         ,JEUX VIDEO         ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
                         ,LITTERATURE        ,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,MUSIQUE JEUNESSE   ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,PRESSE             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
                         ,PSYCHOLOGIE        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
                         ,ROMANS ADULTES     ,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
                         ,ROMANS JEUNESSE    ,0,1,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0
                         ,SCIENCES           ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
                         ,SOCIETE            ,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
                         ,SPORTS ET LOISIRS  ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
                         ,VIE PRATIQUE       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0
                         ,THEATRE            ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gao Xingjian - Sillon    ,TOTAL              ,0,231,227,463,0,0,282,0,283,209,311,0,0,231,400,165,211,322,0,0,281,310,183,217,176,0,164,404,0,297
                         ,ALBUMS             ,0,28,48,36,0,0,54,0,87,23,38,0,0,24,87,43,31,99,0,0,43,53,32,52,22,0,31,78,0,48
                         ,ARTS               ,0,2,0,2,0,0,2,0,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
                         ,GRAPHISME          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
                         ,AUTOUR DU JEU      ,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
                         ,BD ADULTES         ,0,6,11,79,0,0,10,0,10,21,33,0,0,11,15,11,37,12,0,0,16,17,0,35,11,0,4,29,0,31
                         ,BD JEUNESSE        ,0,24,52,106,0,0,71,0,29,42,94,0,0,41,95,24,60,86,0,0,32,87,43,12,59,0,26,102,0,47
                         ,CINEMA ADULTES     ,0,2,0,5,0,0,0,0,1,2,1,0,0,2,2,0,1,0,0,0,5,0,1,8,0,0,0,6,0,3
                         ,CINEMA JEUNESSE    ,0,2,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,4,1,2,0,0,0,0,3,0,0
                         ,GEOGRAPHIE         ,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
                         ,HISTOIRE           ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,INFORMATIQUE       ,0,0,1,7,0,0,0,0,0,0,2,0,0,0,2,3,12,2,0,0,2,0,0,0,0,0,0,1,0,6
                         ,JEUX D'ASSEMBLAGE  ,0,4,1,2,0,0,0,0,1,0,2,0,0,0,1,0,0,2,0,0,0,3,0,0,2,0,0,0,0,0
                         ,JEUX D'EXERCICES   ,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
                         ,JEUX A REGLES      ,0,18,16,43,0,0,14,0,24,29,32,0,0,20,17,16,10,17,0,0,23,24,6,9,14,0,17,26,0,35
                         ,JEUX VIDEO         ,0,5,7,19,0,0,12,0,12,9,20,0,0,8,20,3,6,3,0,0,5,13,1,3,6,0,1,4,0,8
                         ,LANGUES            ,0,0,2,8,0,0,1,0,3,5,6,0,0,11,1,0,6,1,0,0,21,9,0,7,0,0,16,12,0,4
                         ,LOISIRS CREATIFS   ,0,0,2,11,0,0,2,0,9,8,2,0,0,4,7,0,0,8,0,0,11,5,1,4,0,0,9,9,0,3
                         ,MUSIQUE ADULTES    ,0,0,0,1,0,0,0,0,0,2,0,0,0,7,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0
                         ,MUSIQUE JEUNESSE   ,0,0,0,0,0,0,0,0,3,0,0,0,0,1,3,0,0,1,0,0,3,4,0,2,4,0,0,4,0,0
                         ,PHILOSOPHIE        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
                         ,PRESSE             ,0,28,4,19,0,0,22,0,13,14,8,0,0,1,11,12,0,30,0,0,10,7,14,5,10,0,13,5,0,19
                         ,PSYCHOLOGIE        ,0,1,5,10,0,0,5,0,6,6,3,0,0,7,0,1,1,2,0,0,2,1,1,2,4,0,3,10,0,10
                         ,ROMANS ADULTES     ,0,52,40,41,0,0,43,0,36,14,47,0,0,42,47,31,32,16,0,0,36,21,33,24,23,0,31,35,0,44
                         ,ROMANS JEUNESSE    ,0,25,8,31,0,0,18,0,21,15,3,0,0,28,59,10,5,31,0,0,51,37,36,30,3,0,1,34,0,14
                         ,SCIENCES           ,0,4,3,15,0,0,4,0,7,1,6,0,0,3,8,1,4,5,0,0,4,8,1,2,1,0,2,9,0,5
                         ,SOCIETE            ,0,15,1,8,0,0,4,0,8,7,2,0,0,3,7,3,2,1,0,0,0,5,9,13,10,0,4,10,0,6
                         ,SPORTS ET LOISIRS  ,0,2,2,1,0,0,6,0,2,1,1,0,0,5,0,1,0,0,0,0,1,0,0,1,0,0,1,4,0,1
                         ,VIE PRATIQUE       ,0,13,13,19,0,0,13,0,11,7,11,0,0,7,14,6,3,6,0,0,10,12,2,7,6,0,5,21,0,10
