Lieu de prêt,Emplacement,"Nb prêt
02/11/18","Nb prêt
03/11/18","Nb prêt
05/11/18","Nb prêt
06/11/18","Nb prêt
07/11/18","Nb prêt
08/11/18","Nb prêt
09/11/18","Nb prêt
10/11/18","Nb prêt
12/11/18","Nb prêt
13/11/18","Nb prêt
14/11/18","Nb prêt
15/11/18","Nb prêt
16/11/18","Nb prêt
17/11/18","Nb prêt
19/11/18","Nb prêt
20/11/18","Nb prêt
21/11/18","Nb prêt
22/11/18","Nb prêt
23/11/18","Nb prêt
24/11/18","Nb prêt
26/11/18","Nb prêt
27/11/18","Nb prêt
28/11/18","Nb prêt
29/11/18","Nb prêt
30/11/18"
                         ,JEUX A REGLES      ,0,0,1,2,0,0,2,0,0,1,0,0,1,0,0,0,2,0,0,0,2,0,1,0,4
                         ,JEUX SYMBOLIQUES   ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
                         ,JEUX VIDEO         ,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1
                         ,LANGUES            ,1,0,1,2,4,0,2,0,2,1,2,0,2,0,0,2,3,0,0,0,7,2,0,0,0
                         ,LITTERATURE        ,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0
                         ,LOISIRS CREATIFS   ,0,0,1,2,10,0,1,0,3,0,2,0,0,0,1,3,0,0,2,0,1,1,5,0,1
                         ,MUSIQUE ADULTES    ,13,0,4,10,6,0,0,0,2,4,2,0,1,0,0,4,21,1,3,0,10,7,20,0,10
                         ,MUSIQUE JEUNESSE   ,0,0,8,5,15,0,2,0,8,5,12,0,1,0,3,1,17,0,0,0,2,1,5,0,3
                         ,PHILOSOPHIE        ,3,0,3,0,8,0,0,0,1,1,4,0,0,0,1,1,3,0,0,0,2,2,8,0,1
                         ,PRESSE             ,9,0,21,22,57,0,29,0,25,23,27,0,8,0,13,14,35,0,8,0,8,11,22,0,28
                         ,FONDS PRO          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
                         ,PSYCHOLOGIE        ,2,0,2,4,6,0,2,0,0,2,3,0,3,0,1,3,1,0,0,0,2,2,2,0,5
                         ,RELIGIONS          ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0
                         ,ROMANS ADULTES     ,15,0,45,31,41,3,40,0,46,19,36,0,21,0,46,13,33,0,18,0,53,16,33,0,30
                         ,ROMANS JEUNESSE    ,5,0,16,20,144,1,40,0,41,42,95,1,36,0,8,21,102,0,4,0,8,30,119,0,17
                         ,SCIENCES           ,0,0,5,6,8,2,4,0,14,9,15,0,12,0,0,1,10,0,5,0,4,9,14,0,1
                         ,SOCIETE            ,5,0,5,3,10,0,2,0,0,0,5,0,0,0,2,2,4,0,0,0,3,2,3,0,4
