Lieu de prêt,Emplacement,"Nb prêt02/05/17","Nb prêt03/05/17","Nb prêt04/05/17","Nb prêt05/05/17","Nb prêt06/05/17","Nb prêt09/05/17","Nb prêt10/05/17","Nb prêt11/05/17","Nb prêt12/05/17","Nb prêt13/05/17","Nb prêt15/05/17","Nb prêt16/05/17","Nb prêt17/05/17","Nb prêt18/05/17","Nb prêt19/05/17","Nb prêt20/05/17","Nb prêt22/05/17","Nb prêt23/05/17","Nb prêt24/05/17","Nb prêt26/05/17","Nb prêt27/05/17","Nb prêt29/05/17","Nb prêt30/05/17","Nb prêt31/05/17"
                         ,GRAPHISME          ,1,0,0,0,0,0,0,0,1,0,0,1,0,2,3,0,0,3,0,0,0,0,0,0
                         ,BD ADULTES         ,16,46,13,17,38,20,23,21,14,61,0,17,26,3,5,19,0,12,11,29,9,0,1,27
                         ,BD JEUNESSE        ,32,80,16,24,63,68,59,21,23,104,0,44,45,9,9,80,0,8,39,9,55,0,29,125
                         ,CINEMA ADULTES     ,5,1,2,0,4,4,2,0,0,0,0,1,3,2,1,1,0,14,2,5,0,0,0,0
                         ,CINEMA JEUNESSE    ,0,0,0,3,1,0,0,0,0,0,0,1,2,2,1,1,0,0,1,0,0,0,0,1
                         ,CINEMA             ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,GEOGRAPHIE         ,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,11,0,3,0,0,0,0
                         ,HISTOIRE           ,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
                         ,INFORMATIQUE       ,0,0,2,2,6,2,0,2,0,0,0,8,0,0,0,0,0,0,1,0,0,0,1,0
                         ,JEUX D'ASSEMBLAGE  ,0,0,0,1,3,0,0,0,1,1,0,1,2,4,4,2,0,0,1,0,0,0,0,0
                         ,JEUX D'EXERCICES   ,0,0,0,1,2,1,0,0,3,0,0,0,1,0,2,0,0,1,0,0,0,0,2,0
                         ,LIVRES SUR LES JEUX,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
                         ,JEUX A REGLES      ,10,39,5,60,45,18,20,7,45,30,0,15,18,22,39,38,0,23,29,18,16,0,16,46
                         ,JEUX SYMBOLIQUES   ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
                         ,JEUX VIDEO         ,0,12,3,3,19,6,9,9,1,19,0,4,7,3,12,17,0,2,8,5,8,0,10,20
                         ,LANGUES            ,0,2,6,2,7,0,8,5,4,5,0,4,1,13,4,3,0,3,2,1,2,1,12,3
                         ,LITTERATURE        ,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,LOISIRS CREATIFS   ,7,10,1,3,0,0,0,1,5,15,0,1,0,1,0,5,0,8,1,5,1,0,1,8
                         ,MUSIQUE ADULTES    ,0,0,1,0,3,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0
                         ,MUSIQUE JEUNESSE   ,0,0,0,0,1,0,5,0,0,1,0,0,4,1,0,0,0,0,1,0,2,0,2,0
                         ,PHILOSOPHIE        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
                         ,PRESSE             ,1,11,3,14,8,5,9,7,8,15,0,10,2,3,13,7,0,7,2,7,6,0,10,8
                         ,FONDS PRO          ,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
                         ,PSYCHOLOGIE        ,0,3,2,4,8,0,2,6,0,22,0,0,3,4,6,4,0,4,3,5,1,0,0,4
                         ,RELIGIONS          ,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
                         ,ROMANS ADULTES     ,25,35,17,49,49,31,20,22,45,32,2,46,15,28,37,37,0,46,41,23,14,1,22,35
                         ,ROMANS JEUNESSE    ,26,31,23,7,33,4,38,23,10,19,0,7,31,37,7,50,2,30,32,7,6,2,26,41
                         ,SCIENCES           ,6,3,4,0,10,2,10,2,4,0,0,1,0,5,20,9,0,5,1,1,0,0,0,4
                         ,SOCIETE            ,1,6,2,22,21,2,0,34,6,3,1,4,0,5,11,3,0,3,1,4,0,2,1,6
                         ,SPORTS ET LOISIRS  ,0,0,0,1,8,0,0,0,0,3,0,0,0,0,4,8,0,0,0,0,0,0,0,2
                         ,VIE PRATIQUE       ,9,12,6,4,13,7,4,3,6,10,2,7,10,8,38,16,0,14,13,8,3,0,10,9
                         ,THEATRE            ,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
                         ,xx                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
