Emplacement,"Nb prêt
01/06/18","Nb prêt
02/06/18","Nb prêt
04/06/18","Nb prêt
05/06/18","Nb prêt
06/06/18","Nb prêt
07/06/18","Nb prêt
08/06/18","Nb prêt
09/06/18","Nb prêt
11/06/18","Nb prêt
12/06/18","Nb prêt
13/06/18","Nb prêt
14/06/18","Nb prêt
15/06/18","Nb prêt
16/06/18","Nb prêt
18/06/18","Nb prêt
19/06/18","Nb prêt
20/06/18","Nb prêt
21/06/18","Nb prêt
22/06/18","Nb prêt
23/06/18","Nb prêt
25/06/18","Nb prêt
26/06/18","Nb prêt
27/06/18","Nb prêt
28/06/18","Nb prêt
29/06/18","Nb prêt
30/06/18"
ARTS               ,1,0,0,2,1,0,1,0,0,0,2,0,2,0,0,1,2,0,1,0,0,0,4,0,2,0
GRAPHISME          ,1,0,1,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0
AUTOUR DU JEU      ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
BD ADULTES         ,11,0,21,14,27,1,11,6,4,17,20,0,2,0,14,24,21,0,7,0,11,6,12,0,15,0
BD JEUNESSE        ,32,0,33,57,168,4,27,0,64,51,150,0,29,0,60,54,143,0,37,0,43,40,141,0,22,0
CINEMA ADULTES     ,7,0,15,9,34,0,19,0,8,5,21,0,13,0,6,10,10,0,22,0,13,8,14,0,14,0
CINEMA JEUNESSE    ,10,0,3,12,22,0,10,0,2,10,19,0,10,0,8,1,15,0,5,0,5,14,12,0,2,0
DANSE              ,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0
GEOGRAPHIE         ,2,0,2,1,5,0,4,0,2,1,4,0,2,0,1,5,7,0,0,0,4,5,7,0,5,0
HISTOIRE           ,2,0,1,1,0,0,2,0,1,2,1,0,1,0,4,0,1,0,0,0,1,0,9,0,0,0
INFORMATIQUE       ,3,0,0,0,1,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,1,0,0
JEUX D'ASSEMBLAGE  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
JEUX D'EXERCICES   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0
LIVRES SUR LES JEUX,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JEUX A REGLES      ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,8,0,0,0,0
JEUX SYMBOLIQUES   ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
JEUX VIDEO         ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LANGUES            ,1,0,0,0,3,0,0,0,2,1,10,0,1,0,0,2,2,0,2,0,0,1,1,0,0,0
LITTERATURE        ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
LOISIRS CREATIFS   ,0,0,5,1,6,0,1,1,2,0,0,0,0,0,1,4,4,0,0,0,0,0,5,0,0,0
MUSIQUE ADULTES    ,0,0,2,0,8,0,7,0,1,1,7,0,0,0,3,8,18,0,0,0,2,0,7,0,3,0
MUSIQUE JEUNESSE   ,1,0,0,6,6,0,9,0,1,0,6,0,4,0,1,1,2,0,5,0,0,1,7,0,0,0
PHILOSOPHIE        ,0,0,0,1,5,0,0,0,1,0,1,0,0,0,1,0,2,0,0,0,2,2,0,0,0,0
PRESSE             ,24,0,25,21,48,1,2,0,25,1,27,0,10,0,22,6,18,0,12,0,14,5,23,0,15,0
PSYCHOLOGIE        ,0,0,1,0,3,0,0,0,1,4,1,0,1,0,2,1,1,0,0,0,2,0,2,0,1,0
RELIGIONS          ,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
ROMANS ADULTES     ,32,0,29,32,54,1,16,0,18,18,38,0,19,0,19,11,31,0,28,0,31,28,50,0,23,0
ROMANS JEUNESSE    ,36,0,26,32,66,5,24,0,24,14,59,0,5,0,13,20,84,1,32,0,13,29,63,1,3,0
SCIENCES           ,1,0,1,3,19,2,1,0,0,4,13,0,6,0,2,13,7,0,4,0,2,7,9,0,0,0
SOCIETE            ,0,0,1,3,8,0,0,0,2,1,1,0,2,0,0,0,0,0,3,0,7,1,2,0,4,0
SPORTS ET LOISIRS  ,7,0,2,1,8,0,4,0,1,0,7,0,0,0,1,2,1,0,4,0,1,2,1,0,2,0
VIE PRATIQUE       ,8,0,1,8,27,0,10,0,9,10,19,0,10,0,0,1,3,0,6,0,5,9,6,0,2,0
THEATRE            ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
xx                 ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL              ,74,15,0,39,116,0,59,17,0,24,46,1,39,27,0,23,75,0,62,23,5,68,34,0,49,1
AUTOUR DU JEU      ,3,1,0,2,3,0,0,1,0,0,3,0,2,2,0,0,2,0,0,1,0,4,0,0,0,1
BD ADULTES         ,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
HISTOIRE           ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
JEUX D'ASSEMBLAGE  ,15,5,0,3,7,0,7,4,0,2,2,0,5,2,0,2,8,0,3,4,0,4,2,0,0,0
JEUX D'EXERCICES   ,10,5,0,11,31,0,3,0,0,5,5,0,1,3,0,7,12,0,4,8,5,9,13,0,4,0
LIVRES SUR LES JEUX,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
JEUX A REGLES      ,35,0,0,11,43,0,41,7,0,14,20,1,29,17,0,9,20,0,48,3,0,31,13,0,37,0
JEUX SYMBOLIQUES   ,10,2,0,12,25,0,7,5,0,2,15,0,0,2,0,4,11,0,7,7,0,17,6,0,8,0
LITTERATURE        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LOISIRS CREATIFS   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MUSIQUE ADULTES    ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRESSE             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
ROMANS ADULTES     ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOCIETE            ,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SPORTS ET LOISIRS  ,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
VIE PRATIQUE       ,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0
TOTAL              ,202,180,5,194,316,130,128,222,8,190,362,116,138,289,0,156,352,124,161,298,1,177,236,141,274,205
ALBUMS             ,19,23,0,15,65,11,26,19,0,37,100,28,31,52,0,13,59,26,35,34,1,25,44,21,48,41
ARTS               ,0,1,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0
GRAPHISME          ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AUTOUR DU JEU      ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,1,2,0,0
