Lieu de prêt,Emplacement,"Nb prêt
01/10/18","Nb prêt
02/10/18","Nb prêt
03/10/18","Nb prêt
04/10/18","Nb prêt
05/10/18","Nb prêt
06/10/18","Nb prêt
08/10/18","Nb prêt
09/10/18","Nb prêt
10/10/18","Nb prêt
11/10/18","Nb prêt
12/10/18","Nb prêt
13/10/18","Nb prêt
15/10/18","Nb prêt
16/10/18","Nb prêt
17/10/18","Nb prêt
18/10/18","Nb prêt
19/10/18","Nb prêt
20/10/18","Nb prêt
22/10/18","Nb prêt
23/10/18","Nb prêt
24/10/18","Nb prêt
25/10/18","Nb prêt
26/10/18","Nb prêt
27/10/18","Nb prêt
29/10/18","Nb prêt
30/10/18","Nb prêt
31/10/18"
                         ,CINEMA JEUNESSE    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
                         ,HISTOIRE           ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
                         ,INFORMATIQUE       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX D'ASSEMBLAGE  ,0,0,8,4,1,0,0,1,10,2,8,0,0,0,3,0,3,0,0,0,11,2,0,0,0,0,7
                         ,JEUX D'EXERCICES   ,0,1,12,3,1,0,0,5,10,3,11,0,0,0,7,8,4,0,0,0,10,3,0,0,0,0,12
                         ,JEUX A REGLES      ,0,0,8,3,5,0,0,0,24,9,1,0,0,6,19,2,13,0,0,2,37,7,2,0,0,3,14
                         ,JEUX SYMBOLIQUES   ,0,3,5,2,3,0,0,1,18,1,5,0,0,5,8,0,5,0,0,2,8,3,0,0,0,2,18
                         ,JEUX VIDEO         ,0,0,2,0,0,0,0,1,5,1,0,0,0,4,6,0,1,0,0,0,1,0,0,0,0,2,3
                         ,PRESSE             ,0,0,2,3,2,0,0,0,18,2,10,0,0,9,1,0,1,0,0,0,4,0,0,0,0,0,0
                         ,RELIGIONS          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
                         ,ROMANS ADULTES     ,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,3
                         ,ROMANS JEUNESSE    ,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
                         ,SOCIETE            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Charles-Gautier-Hermeland,TOTAL              ,2,650,1279,491,403,2229,5,717,1704,383,563,2011,9,611,1499,548,542,2276,0,1229,1527,848,831,1751,37,1577,1028
                         ,ALBUMS             ,0,92,185,48,37,364,0,121,305,90,61,294,0,59,310,90,51,303,0,196,213,77,76,271,11,237,233
                         ,ARTS               ,0,9,20,7,1,20,1,4,42,8,4,26,0,12,14,14,7,28,0,34,28,20,12,47,0,25,10
                         ,GRAPHISME          ,0,8,3,3,4,6,0,4,4,1,0,4,0,2,2,7,2,3,0,8,3,4,3,11,0,3,3
                         ,AUTOUR DU JEU      ,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,BD ADULTES         ,0,57,67,37,26,125,0,56,65,25,18,133,2,39,68,16,66,127,0,48,105,58,35,89,7,96,90
                         ,BD JEUNESSE        ,0,65,246,77,19,371,0,68,285,32,43,316,0,62,281,51,39,345,0,201,222,124,165,301,14,204,130
                         ,CINEMA ADULTES     ,0,66,76,41,38,146,2,61,111,6,52,139,1,65,64,29,57,171,0,62,96,36,62,95,0,79,49
                         ,CINEMA JEUNESSE    ,0,15,32,4,5,96,1,18,52,7,22,65,1,10,66,9,10,103,0,44,41,46,25,79,0,38,52
                         ,CINEMA             ,0,0,2,0,0,4,0,1,1,0,2,2,0,1,0,0,1,1,0,0,1,1,1,5,0,0,0
                         ,DANSE              ,0,0,30,1,0,16,0,5,3,8,13,4,1,1,8,4,2,3,0,6,11,5,0,8,0,13,0
                         ,GEOGRAPHIE         ,0,16,37,12,2,29,0,6,30,8,12,38,0,13,29,13,6,35,0,23,21,29,16,27,0,19,6
                         ,HISTOIRE           ,0,9,11,4,0,46,0,6,17,14,7,39,0,17,8,14,8,48,0,23,17,23,17,24,0,21,12
                         ,INFORMATIQUE       ,0,0,4,3,0,14,0,3,5,4,2,7,0,4,1,1,1,25,0,2,2,1,1,9,0,5,2
                         ,JEUX D'ASSEMBLAGE  ,0,5,10,0,2,16,0,1,18,10,2,14,0,7,17,0,5,11,0,5,26,2,7,17,0,7,9
                         ,JEUX D'EXERCICES   ,0,11,9,0,7,14,0,9,6,8,1,16,0,4,5,6,3,13,0,3,13,3,7,23,0,8,14
                         ,LIVRES SUR LES JEUX,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
                         ,JEUX A REGLES      ,0,17,48,16,19,61,0,22,41,4,9,64,0,10,51,19,10,91,0,43,54,21,17,78,0,38,48
                         ,JEUX SYMBOLIQUES   ,0,12,18,1,3,17,0,12,24,2,5,24,0,6,28,3,1,26,0,7,12,11,5,11,0,21,8
                         ,JEUX VIDEO         ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0
                         ,LANGUES            ,0,1,7,1,2,11,0,3,6,1,7,10,0,6,2,2,2,15,0,12,8,0,10,12,0,12,1
                         ,LITTERATURE        ,0,2,5,1,4,2,0,1,2,0,3,4,0,2,2,4,0,8,0,2,8,2,3,2,0,2,3
                         ,FONDS LOCAL        ,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0
                         ,LOISIRS CREATIFS   ,0,6,20,8,2,19,0,4,27,2,2,27,0,13,21,0,8,33,0,17,26,8,3,24,0,22,15
                         ,MUSIQUE ADULTES    ,0,52,41,34,28,132,1,90,112,10,60,101,0,32,58,23,23,133,0,53,52,40,58,63,0,65,48
                         ,MUSIQUE            ,0,0,2,0,2,1,0,1,0,1,1,1,0,0,1,0,0,5,0,0,0,0,3,0,0,0,0
                         ,MUSIQUE JEUNESSE   ,0,6,21,0,0,35,0,6,26,4,2,22,0,2,15,2,1,27,0,2,18,7,15,30,0,10,32
                         ,PHILOSOPHIE        ,1,0,3,10,2,4,0,5,1,1,3,10,0,1,2,3,2,7,0,9,6,3,2,11,0,10,2
                         ,PRESSE             ,0,22,56,24,20,125,0,23,77,16,28,72,0,24,55,16,43,132,0,51,63,33,32,83,0,81,42
                         ,FONDS PRO          ,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,0,0,0,0,4,0
                         ,PSYCHOLOGIE        ,0,4,13,4,5,14,0,1,17,2,5,11,0,7,12,5,4,10,0,16,7,5,2,18,0,11,9
                         ,RELIGIONS          ,0,1,6,1,0,9,0,6,3,5,4,7,0,7,1,2,0,13,0,4,10,1,4,3,0,3,2
                         ,ROMANS ADULTES     ,1,108,116,77,107,174,0,110,132,61,121,157,0,104,107,60,78,180,0,119,177,73,94,141,2,229,83
                         ,ROMANS JEUNESSE    ,0,13,86,18,16,131,0,33,105,15,15,140,3,26,129,47,34,159,0,74,124,84,73,104,2,128,59
                         ,SCIENCES           ,0,3,44,14,5,57,0,12,49,15,11,55,1,13,35,6,15,61,0,35,31,24,18,40,1,31,19
                         ,SOCIETE            ,0,8,20,14,5,21,0,8,34,7,10,52,0,20,27,9,4,36,0,20,18,14,7,44,0,32,15
                         ,SPORTS ET LOISIRS  ,0,2,7,4,1,5,0,2,8,1,1,14,0,8,12,5,1,6,0,7,1,12,0,10,0,5,3
                         ,VIE PRATIQUE       ,0,21,23,13,33,94,0,14,53,13,23,90,0,17,35,31,22,78,0,33,66,25,24,52,0,56,24
                         ,THEATRE            ,0,19,11,13,7,48,0,0,39,1,14,51,0,9,29,57,35,39,0,69,43,53,33,15,0,60,4
                         ,VERSION ORIGINALE  ,0,0,0,0,1,1,0,0,2,1,0,2,0,0,0,0,0,1,0,0,0,3,1,0,0,0,1
                         ,xx                 ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
Bellevue                 ,TOTAL              ,291,232,684,9,165,0,206,202,694,2,249,0,398,184,699,67,170,0,281,113,241,0,196,0,321,221,92
                         ,ALBUMS             ,59,51,213,8,10,0,14,70,162,1,56,0,100,46,139,31,14,0,33,15,47,0,41,0,129,49,10
                         ,ARTS               ,3,1,2,0,2,0,4,0,6,0,3,0,2,3,1,3,0,0,2,0,1,0,1,0,1,1,0
                         ,GRAPHISME          ,2,1,0,0,1,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
                         ,AUTOUR DU JEU      ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,BD ADULTES         ,24,23,17,0,4,0,19,5,25,0,6,0,18,9,27,0,5,0,11,29,18,0,11,0,6,10,5
                         ,BD JEUNESSE        ,63,69,176,0,43,0,40,57,172,0,31,0,69,38,204,11,33,0,66,22,53,0,35,0,64,48,22
                         ,CINEMA ADULTES     ,13,11,21,0,5,0,26,7,16,0,15,0,21,0,10,0,7,0,17,8,8,0,14,0,8,4,8
                         ,CINEMA JEUNESSE    ,12,9,9,0,14,0,5,2,22,0,10,0,22,6,16,7,2,0,12,4,1,0,7,0,10,22,0
                         ,CINEMA             ,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,DANSE              ,1,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,4,1,0
                         ,GEOGRAPHIE         ,0,1,17,0,0,0,4,1,5,0,1,0,5,1,2,1,1,0,2,1,1,0,2,0,7,0,0
                         ,HISTOIRE           ,2,0,5,0,0,0,0,3,5,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,4,0
                         ,INFORMATIQUE       ,0,0,1,0,0,0,1,1,5,0,2,0,1,0,2,0,1,0,0,0,1,0,0,0,1,0,0
                         ,JEUX D'ASSEMBLAGE  ,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX D'EXERCICES   ,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,LIVRES SUR LES JEUX,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX A REGLES      ,0,1,2,0,0,0,0,0,0,0,9,0,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0
                         ,JEUX SYMBOLIQUES   ,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX VIDEO         ,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,1,0,1
                         ,LANGUES            ,3,0,5,0,4,0,3,0,6,0,2,0,4,3,4,0,5,0,6,1,2,0,2,0,4,1,1
                         ,LITTERATURE        ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
                         ,LOISIRS CREATIFS   ,2,0,4,0,1,0,7,1,5,0,1,0,2,0,6,0,0,0,1,0,4,0,0,0,2,0,0
                         ,MUSIQUE ADULTES    ,3,0,4,0,3,0,9,0,15,1,9,0,2,2,1,5,4,0,9,0,4,0,12,0,0,5,0
                         ,MUSIQUE JEUNESSE   ,6,10,8,0,0,0,0,3,14,0,0,0,4,5,10,0,1,0,6,0,5,0,4,0,3,2,0
                         ,PHILOSOPHIE        ,2,1,1,0,2,0,2,1,5,0,2,0,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0
                         ,PRESSE             ,27,1,38,0,15,0,13,5,21,0,6,0,32,3,49,4,17,0,26,1,18,0,6,0,16,21,7
                         ,FONDS PRO          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
                         ,PSYCHOLOGIE        ,3,0,5,0,2,0,1,2,3,0,0,0,4,1,3,0,0,0,0,6,1,0,0,0,2,1,0
                         ,RELIGIONS          ,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
                         ,ROMANS ADULTES     ,24,13,41,0,29,0,23,11,44,0,46,0,47,19,44,0,30,0,38,12,39,0,36,0,12,15,30
                         ,ROMANS JEUNESSE    ,20,32,73,1,16,0,14,22,118,0,7,0,35,33,118,0,38,0,28,9,22,0,15,0,27,23,5
                         ,SCIENCES           ,6,3,13,0,1,0,1,6,14,0,3,0,7,4,21,1,4,0,11,0,8,0,3,0,12,1,1
                         ,SOCIETE            ,3,1,0,0,5,0,8,3,10,0,2,0,8,4,10,1,2,0,3,3,0,0,4,0,6,0,0
                         ,SPORTS ET LOISIRS  ,0,0,6,0,3,0,1,0,2,0,3,0,4,2,4,1,0,0,1,0,1,0,0,0,1,3,0
                         ,VIE PRATIQUE       ,11,3,18,0,5,0,6,1,13,0,20,0,4,1,20,2,1,0,7,1,6,0,1,0,5,10,1
                         ,THEATRE            ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
La Ludothèque            ,TOTAL              ,0,38,92,24,43,69,0,34,113,1,40,89,1,26,85,5,25,57,0,108,46,4,35,21,0,80,86
                         ,ALBUMS             ,0,0,6,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
                         ,AUTOUR DU JEU      ,0,0,2,1,1,2,0,4,0,0,0,6,0,2,2,0,0,3,0,4,3,0,0,0,0,4,2
                         ,BD ADULTES         ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0
                         ,BD JEUNESSE        ,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,CINEMA ADULTES     ,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,CINEMA JEUNESSE    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
                         ,GEOGRAPHIE         ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
                         ,INFORMATIQUE       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
                         ,JEUX D'ASSEMBLAGE  ,0,3,14,0,4,6,0,3,17,0,4,7,0,1,12,0,3,3,0,11,4,0,9,0,0,7,17
                         ,JEUX D'EXERCICES   ,0,11,10,0,6,20,0,7,16,0,6,27,0,6,9,0,2,18,0,17,4,0,5,9,0,19,14
                         ,LIVRES SUR LES JEUX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
                         ,JEUX A REGLES      ,0,6,32,16,16,21,0,17,36,0,21,17,0,6,27,3,18,25,0,51,20,3,9,9,0,18,35
                         ,JEUX SYMBOLIQUES   ,0,17,28,0,10,20,0,3,42,0,4,31,0,11,31,2,1,7,0,20,15,0,12,3,0,24,18
                         ,LOISIRS CREATIFS   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
                         ,MUSIQUE JEUNESSE   ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,PSYCHOLOGIE        ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,ROMANS ADULTES     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
                         ,ROMANS JEUNESSE    ,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,SCIENCES           ,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,SOCIETE            ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
                         ,SPORTS ET LOISIRS  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
                         ,VIE PRATIQUE       ,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gao Xingjian - Sillon    ,TOTAL              ,0,247,353,97,220,313,0,204,272,157,244,318,0,171,371,213,202,441,0,348,378,249,191,0,0,410,286
                         ,ALBUMS             ,0,51,85,25,44,62,0,47,28,18,75,36,0,7,88,55,26,94,0,46,89,48,27,0,0,91,39
                         ,ARTS               ,0,1,0,0,0,1,0,0,0,0,0,1,0,5,2,1,8,1,0,1,1,1,2,0,0,0,1
                         ,AUTOUR DU JEU      ,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
                         ,BD ADULTES         ,0,11,18,0,25,41,0,9,24,18,4,34,0,17,8,1,3,34,0,24,35,8,16,0,0,14,14
                         ,BD JEUNESSE        ,0,32,67,4,19,37,0,51,57,22,22,83,0,19,74,25,36,104,0,27,55,46,34,0,0,93,72
                         ,CINEMA ADULTES     ,0,1,0,3,0,0,0,3,2,4,2,0,0,0,11,1,2,0,0,13,0,3,1,0,0,2,1
                         ,CINEMA JEUNESSE    ,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,5,2,0,0,1,10
                         ,DANSE              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
                         ,GEOGRAPHIE         ,0,3,2,0,0,2,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
                         ,HISTOIRE           ,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
                         ,INFORMATIQUE       ,0,1,0,0,0,1,0,0,0,8,0,0,0,2,0,0,1,1,0,2,0,0,0,0,0,0,3
                         ,JEUX D'ASSEMBLAGE  ,0,2,0,0,1,2,0,0,0,1,0,2,0,0,3,2,0,6,0,3,0,1,0,0,0,6,0
                         ,JEUX D'EXERCICES   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
                         ,JEUX A REGLES      ,0,30,19,7,4,31,0,16,12,10,30,37,0,7,22,6,29,67,0,35,32,37,13,0,0,46,25
                         ,JEUX SYMBOLIQUES   ,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX VIDEO         ,0,5,11,3,7,22,0,1,7,6,4,13,0,5,10,10,11,20,0,10,10,8,9,0,0,9,10
                         ,LANGUES            ,0,10,1,5,1,6,0,3,18,13,3,4,0,6,5,8,6,1,0,15,13,3,7,0,0,7,18
                         ,LITTERATURE        ,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,LOISIRS CREATIFS   ,0,6,4,2,7,10,0,1,3,1,4,0,0,13,5,8,3,2,0,4,1,2,0,0,0,5,0
                         ,MUSIQUE ADULTES    ,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
                         ,MUSIQUE JEUNESSE   ,0,0,1,0,2,0,0,1,0,0,1,0,0,0,1,3,2,1,0,2,2,3,0,0,0,0,1
                         ,PRESSE             ,0,8,22,5,12,21,0,2,12,2,16,30,0,3,19,10,5,4,0,16,35,13,1,0,0,9,9
                         ,FONDS PRO          ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,PSYCHOLOGIE        ,0,0,5,3,5,3,0,4,7,0,10,1,0,1,1,3,0,2,0,10,3,0,7,0,0,4,6
                         ,RELIGIONS          ,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0
                         ,ROMANS ADULTES     ,0,35,31,21,20,29,0,23,48,12,23,32,0,47,41,32,30,35,0,54,33,34,26,0,0,60,27
                         ,ROMANS JEUNESSE    ,0,32,56,1,35,18,0,27,33,23,20,28,0,15,42,23,16,47,0,37,46,14,27,0,0,23,25
                         ,SCIENCES           ,0,7,2,2,6,4,0,2,8,3,5,7,0,7,13,7,6,3,0,8,5,6,5,0,0,6,3
                         ,SOCIETE            ,0,4,5,8,7,4,0,5,3,13,4,5,0,6,4,3,9,3,0,14,4,4,12,0,0,15,5
                         ,SPORTS ET LOISIRS  ,0,1,1,1,3,0,0,0,0,0,4,0,0,1,2,1,0,4,0,0,2,1,0,0,0,1,0
                         ,VIE PRATIQUE       ,0,5,19,7,17,17,0,8,9,3,16,5,0,2,18,13,5,9,0,23,12,10,2,0,0,17,15
                         ,THEATRE            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
