Lieu de prêt,Emplacement,"Nb prêt
03/12/18","Nb prêt
04/12/18","Nb prêt
05/12/18","Nb prêt
06/12/18","Nb prêt
07/12/18","Nb prêt
08/12/18","Nb prêt
10/12/18","Nb prêt
11/12/18","Nb prêt
12/12/18","Nb prêt
13/12/18","Nb prêt
14/12/18","Nb prêt
15/12/18","Nb prêt
17/12/18","Nb prêt
18/12/18","Nb prêt
19/12/18","Nb prêt
20/12/18","Nb prêt
21/12/18","Nb prêt
22/12/18","Nb prêt
26/12/18","Nb prêt
27/12/18","Nb prêt
28/12/18","Nb prêt
29/12/18"
                         ,HISTOIRE           ,0,0,3,0,2,0,2,1,6,0,2,0,0,2,4,0,1,0,2,0,0,0
                         ,INFORMATIQUE       ,0,1,4,0,1,0,0,0,1,0,1,0,1,4,2,0,0,0,0,0,1,0
                         ,JEUX D'EXERCICES   ,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
                         ,LIVRES SUR LES JEUX,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX A REGLES      ,1,5,1,1,0,0,5,0,2,0,0,0,0,0,2,0,0,0,1,0,4,0
                         ,JEUX SYMBOLIQUES   ,3,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0
                         ,JEUX VIDEO         ,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
                         ,LANGUES            ,2,0,5,0,4,0,0,3,6,0,0,0,1,1,2,0,1,0,1,0,1,0
                         ,LOISIRS CREATIFS   ,2,1,7,0,2,0,0,3,2,0,2,0,5,2,5,0,1,0,0,0,0,0
                         ,MUSIQUE ADULTES    ,1,2,6,18,0,0,6,2,6,0,3,0,26,8,19,0,7,0,6,0,3,0
                         ,MUSIQUE            ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,MUSIQUE JEUNESSE   ,5,3,13,0,2,0,2,2,13,0,7,0,7,12,12,0,0,0,1,0,1,0
                         ,PHILOSOPHIE        ,0,1,1,0,1,0,2,1,2,0,0,0,4,8,2,0,1,0,0,0,1,0
                         ,PRESSE             ,21,4,15,3,4,0,10,12,22,0,16,0,6,2,30,0,15,0,17,0,3,0
                         ,PSYCHOLOGIE        ,5,0,4,0,2,0,4,1,4,0,1,0,4,6,0,0,2,0,0,0,0,0
                         ,RELIGIONS          ,0,0,2,0,2,0,1,0,0,0,1,0,0,1,1,0,3,0,0,0,0,0
                         ,ROMANS ADULTES     ,29,21,34,2,34,0,80,13,49,2,23,0,25,35,58,0,65,0,22,0,25,0
                         ,ROMANS JEUNESSE    ,22,38,78,3,27,0,32,36,72,0,33,0,53,75,56,0,12,0,27,0,13,0
                         ,SCIENCES           ,0,12,12,1,5,0,3,11,18,0,3,0,1,16,15,0,4,0,2,0,2,0
                         ,SOCIETE            ,4,4,3,0,5,0,5,2,7,0,1,0,6,5,5,0,1,0,2,0,1,0
                         ,SPORTS ET LOISIRS  ,2,3,2,0,0,0,0,1,7,0,0,0,2,1,3,0,1,0,0,0,1,0
                         ,VIE PRATIQUE       ,6,4,10,2,0,0,9,4,14,0,8,0,6,2,9,0,7,0,9,0,2,0
                         ,THEATRE            ,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
